STATE,STORE,WEEK,SESSION,PROPOSITION,SALES,CUST_ID,ACTIVE_SUB,,
VIC,2,2,Afternoon,pick-up,119,8,1,,
VIC,2,2,Afternoon,delivery,125,65,0,,
VIC,2,2,Afternoon,in-store,290,9,1,,
VIC,2,2,Night,pick-up,209,66,0,,
VIC,2,2,Night,delivery,241,12,1,,
VIC,2,2,Night,in-store,132,0,0,,
VIC,2,2,Night,delivery,305,30,0,,
VIC,2,2,Night,delivery,313,5,0,,
VIC,2,2,Night,in-store,111,57,1,,
VIC,2,3,Morning,pick-up,315,7,1,,
VIC,2,3,Morning,delivery,125,58,1,,
VIC,2,3,Morning,in-store,384,53,0,,
VIC,2,3,Afternoon,pick-up,100,10,1,,
VIC,2,3,Afternoon,delivery,194,6,0,,
VIC,2,3,Afternoon,in-store,356,18,0,,
VIC,2,3,Night,pick-up,107,12,0,,
VIC,2,3,Night,delivery,177,14,0,,
VIC,2,3,Night,in-store,284,23,1,,
VIC,2,3,Night,delivery,316,22,1,,
VIC,2,3,Night,delivery,140,42,1,,
VIC,2,3,Night,in-store,357,2,0,,
VIC,2,4,Morning,pick-up,167,61,1,,
VIC,2,4,Morning,delivery,110,65,0,,
VIC,2,4,Morning,in-store,201,68,0,,
VIC,2,4,Afternoon,pick-up,216,31,1,,
VIC,2,4,Afternoon,delivery,249,19,1,,
VIC,2,4,Afternoon,in-store,126,37,1,,
VIC,2,4,Night,pick-up,197,55,0,,
VIC,2,4,Night,delivery,284,22,0,,
VIC,2,4,Night,in-store,140,17,0,,
VIC,2,4,Night,delivery,178,57,1,,
VIC,2,4,Night,delivery,343,5,0,,
VIC,2,4,Night,in-store,107,31,1,,
SA,3,1,Morning,pick-up,116,35,1,,
SA,3,1,Morning,delivery,200,37,0,,
SA,3,1,Morning,in-store,296,65,1,,
SA,3,1,Afternoon,pick-up,271,67,1,,
SA,3,1,Afternoon,delivery,165,40,1,,
SA,3,1,Afternoon,in-store,118,67,1,,
SA,3,1,Night,pick-up,290,27,0,,
SA,3,1,Night,delivery,244,16,0,,
SA,3,1,Night,in-store,241,20,0,,
SA,3,1,Night,delivery,311,50,1,,
SA,3,1,Night,delivery,178,31,0,,
SA,3,1,Night,in-store,148,44,0,,
SA,3,2,Morning,pick-up,191,44,1,,
SA,3,2,Morning,delivery,306,19,0,,
SA,3,2,Morning,in-store,317,62,0,,
SA,3,2,Afternoon,pick-up,175,35,1,,
SA,3,2,Afternoon,delivery,329,45,1,,
SA,3,2,Afternoon,in-store,250,19,0,,
SA,3,2,Night,pick-up,215,28,0,,
SA,3,2,Night,delivery,323,6,1,,
SA,3,2,Night,in-store,384,40,0,,
SA,3,2,Night,delivery,288,25,0,,
SA,3,2,Night,delivery,309,57,0,,
SA,3,2,Night,in-store,219,62,0,,
SA,3,3,Morning,pick-up,399,20,1,,
SA,3,3,Morning,delivery,218,63,1,,
SA,3,3,Morning,in-store,226,14,1,,
SA,3,3,Afternoon,pick-up,186,29,1,,
SA,3,3,Afternoon,delivery,351,53,1,,
SA,3,3,Afternoon,in-store,380,18,0,,
SA,3,3,Night,pick-up,143,7,0,,
SA,3,3,Night,delivery,346,46,0,,
SA,3,3,Night,in-store,105,35,0,,
SA,3,3,Night,delivery,112,60,0,,
SA,3,3,Night,delivery,139,41,1,,
SA,3,3,Night,in-store,151,15,0,,
SA,3,4,Morning,pick-up,230,3,1,,
SA,3,4,Morning,delivery,325,50,1,,
SA,3,4,Morning,in-store,394,60,0,,
SA,3,4,Afternoon,pick-up,394,35,0,,
SA,3,4,Afternoon,delivery,178,22,0,,
SA,3,4,Afternoon,in-store,251,25,1,,
SA,3,4,Night,pick-up,150,48,0,,
SA,3,4,Night,delivery,366,31,1,,
SA,3,4,Night,in-store,366,70,1,,
SA,3,4,Night,delivery,279,50,0,,
SA,3,4,Night,delivery,144,60,1,,
SA,3,4,Night,in-store,120,35,0,,
